Start time UTC,End time UTC,Start time UTC+03:00,End time UTC+03:00,Up-regulating price in the Balancing energy market
1.1.2018 0:00,1.1.2018 1:00,1.1.2018 3:00,1.1.2018 4:00,30
1.1.2018 1:00,1.1.2018 2:00,1.1.2018 4:00,1.1.2018 5:00,30
1.1.2018 2:00,1.1.2018 3:00,1.1.2018 5:00,1.1.2018 6:00,30
1.1.2018 3:00,1.1.2018 4:00,1.1.2018 6:00,1.1.2018 7:00,30
1.1.2018 4:00,1.1.2018 5:00,1.1.2018 7:00,1.1.2018 8:00,30
1.1.2018 5:00,1.1.2018 6:00,1.1.2018 8:00,1.1.2018 9:00,30
1.1.2018 6:00,1.1.2018 7:00,1.1.2018 9:00,1.1.2018 10:00,30
1.1.2018 7:00,1.1.2018 8:00,1.1.2018 10:00,1.1.2018 11:00,30
1.1.2018 8:00,1.1.2018 9:00,1.1.2018 11:00,1.1.2018 12:00,45
1.1.2018 9:00,1.1.2018 10:00,1.1.2018 12:00,1.1.2018 13:00,45
1.1.2018 10:00,1.1.2018 11:00,1.1.2018 13:00,1.1.2018 14:00,45
1.1.2018 11:00,1.1.2018 12:00,1.1.2018 14:00,1.1.2018 15:00,45
1.1.2018 12:00,1.1.2018 13:00,1.1.2018 15:00,1.1.2018 16:00,65
1.1.2018 13:00,1.1.2018 14:00,1.1.2018 16:00,1.1.2018 17:00,65
1.1.2018 14:00,1.1.2018 15:00,1.1.2018 17:00,1.1.2018 18:00,65
1.1.2018 15:00,1.1.2018 16:00,1.1.2018 18:00,1.1.2018 19:00,45
1.1.2018 16:00,1.1.2018 17:00,1.1.2018 19:00,1.1.2018 20:00,45
1.1.2018 17:00,1.1.2018 18:00,1.1.2018 20:00,1.1.2018 21:00,45
1.1.2018 18:00,1.1.2018 19:00,1.1.2018 21:00,1.1.2018 22:00,45
1.1.2018 19:00,1.1.2018 20:00,1.1.2018 22:00,1.1.2018 23:00,65
1.1.2018 20:00,1.1.2018 21:00,1.1.2018 23:00,2.1.2018 0:00,65
1.1.2018 21:00,1.1.2018 22:00,2.1.2018 0:00,2.1.2018 1:00,65
1.1.2018 22:00,1.1.2018 23:00,2.1.2018 1:00,2.1.2018 2:00,45
31.12.2017 23:00,1.1.2018 0:00,1.1.2018 2:00,1.1.2018 3:00,30
1.1.2018 0:00,1.1.2018 1:00,1.1.2018 3:00,1.1.2018 4:00,30

